Linker_ID,Part_A_Name,Repetition_Unit,Number_of_Repetitions,Part_A_Smiles,Functional_Groups,Part_B_Name,Repetition_Unit.1,Number_of_Repetitions.1,Part_B_Smiles,Functional_Groups.1,SMILES,Status,Ring_Count,Heteroatom_Count,Molecular_Weight,LogP,TPSA,Rotatable_Bonds,H_Bond_Acceptor,H_Bond_Donor
LN-0022,PEG diamine,O-CH2-CH2,2.0,NCCOCCOCCN,NH2,tert-butyl 4-aminobutanoate,,,CC(C)(C)OC(=O)CCCN,COO- | NH2,C(=O)(OC(C)(C)C)CCCC(=O)NCCOCCOCCN,Valid,0,7,148.206,-1.0629999999999982,70.5,7.0,4.0,2.0
LN-0023,PEG diamine,O-CH2-CH2,3.0,NCCOCCOCCOCCN,NH2,tert-butyl 4-aminobutanoate,,,CC(C)(C)OC(=O)CCCN,COO- | NH2,C(=O)(OC(C)(C)C)CCCC(=O)NCCOCCOCCOCCN,Valid,0,8,192.25899999999996,-1.0463999999999978,79.73,10.0,5.0,2.0
LN-0024,PEG diamine,O-CH2-CH2,4.0,NCCOCCOCCOCCOCCN,NH2,tert-butyl 4-aminobutanoate,,,CC(C)(C)OC(=O)CCCN,COO- | NH2,C(=O)(OC(C)(C)C)CCCC(=O)NCCOCCOCCOCCOCCN,Valid,0,9,236.31199999999993,-1.0297999999999965,88.96000000000001,13.0,6.0,2.0
LN-0025,PEG diamine,O-CH2-CH2,5.0,NCCOCCOCCOCCOCCOCCN,NH2,tert-butyl 4-aminobutanoate,,,CC(C)(C)OC(=O)CCCN,COO- | NH2,C(=O)(OC(C)(C)C)CCCC(=O)NCCOCCOCCOCCOCCOCCN,Valid,0,10,280.36499999999995,-1.013199999999996,98.19000000000001,16.0,7.0,2.0
LN-0026,Boc-amino acid,CH2-CH2,2.0,C(=O)(O)CCCCCCNC(=O)OC(C)(C)C,NHBoc|COOH,,,,,,C(=O)(O)CCCCCCNC(=O)OC(C)(C)C,Valid,0,5,245.319,2.5462000000000007,75.63000000000001,7.0,3.0,2.0
LN-0027,Boc-amino acid,CH2-CH2,3.0,C(=O)(O)CCCCCCCCNC(=O)OC(C)(C)C,NHBoc|COOH,,,,,,C(=O)(O)CCCCCCCCNC(=O)OC(C)(C)C,Valid,0,5,273.373,3.3264000000000022,75.63000000000001,9.0,3.0,2.0
LN-0028,Boc-amino acid,CH2-CH2,4.0,C(=O)(O)CCCCCCCCCCNC(=O)OC(C)(C)C,NHBoc|COOH,,,,,,C(=O)(O)CCCCCCCCCCNC(=O)OC(C)(C)C,Valid,0,5,301.427,4.106600000000003,75.63000000000001,11.0,3.0,2.0
LN-0029,Boc-NH-PEG-COOH,O-CH2-CH2,1.0,C(=O)(O)COCCNC(=O)OC(C)(C)C,NHBoc|COOH,,,,,,C(=O)(O)COCCNC(=O)OC(C)(C)C,Valid,0,6,219.237,0.6123000000000001,84.86,5.0,4.0,2.0
LN-0030,Boc-NH-PEG-COOH,O-CH2-CH2,2.0,C(=O)(O)COCCOCCNC(=O)OC(C)(C)C,NHBoc|COOH,,,,,,C(=O)(O)COCCOCCNC(=O)OC(C)(C)C,Valid,0,7,263.28999999999996,0.6288999999999996,94.09000000000002,8.0,5.0,2.0
LN-0031,Boc-NH-PEG-COOH,O-CH2-CH2,3.0,C(=O)(O)COCCOCCOCCNC(=O)OC(C)(C)C,NHBoc|COOH,,,,,,C(=O)(O)COCCOCCOCCNC(=O)OC(C)(C)C,Valid,0,8,307.343,0.6455000000000002,103.32000000000001,11.0,6.0,2.0
LN-0032,Boc-NH-PEG-COOH,O-CH2-CH2,4.0,C(=O)(O)COCCOCCOCCOCCNC(=O)OC(C)(C)C,NHBoc|COOH,,,,,,C(=O)(O)COCCOCCOCCOCCNC(=O)OC(C)(C)C,Valid,0,9,351.3960000000001,0.6621000000000006,112.55000000000003,14.0,7.0,2.0
LN-0033,Boc-protected piperidine-piperazine,,,C1CC(CN2CCNCC2)CCN1C(OC(C)(C)C)=O,NBoc|NH,,,,,,C1CC(CN2CCNCC2)CCN1C(OC(C)(C)C)=O,Valid,2,5,283.416,1.5387,44.81,2.0,4.0,1.0
LN-0034, Bromocarboxylic acid,CH2,3.0,BrCCCCCC(=O)O,Br-CH2|COOH,,,,,,BrCCCCCC(=O)O,Valid,0,3,195.05599999999998,2.0263,37.3,5.0,1.0,1.0
LN-0035,Bromocarboxylic acid,CH2,4.0,BrCCCCCCC(=O)O,Br-CH2|COOH,,,,,,BrCCCCCCC(=O)O,Valid,0,3,209.08299999999997,2.4164000000000003,37.3,6.0,1.0,1.0
LN-0036,Bromocarboxylic acid,CH2,5.0,BrCCCCCCCC(=O)O,Br-CH2|COOH,,,,,,BrCCCCCCCC(=O)O,Valid,0,3,223.10999999999996,2.8065000000000007,37.3,7.0,1.0,1.0
LN-0037,Bromocarboxylic acid,CH2,7.0,BrCCCCCCCCCC(=O)O,Br-CH2|COOH,,,,,,BrCCCCCCCCCC(=O)O,Valid,0,3,251.16399999999993,3.5867000000000013,37.3,9.0,1.0,1.0
LN-0038,propargyl bromide,,,BrCC#C,Br-CH2|CC, Bromocarboxylic acid,CH2,3.0,OC(=O)CCCCCN=[N+]=[N-],N3-CH2|COOH,OC(=O)CCCCCN1N=NC(CBr)=C1,Valid,1,6,118.96099999999998,1.0145,0.0,0.0,0.0,0.0
LN-0039,propargyl bromide,,,BrCC#C,Br-CH2|CC,Bromocarboxylic acid,CH2,4.0,OC(=O)CCCCCCN=[N+]=[N-],N3-CH2|COOH,OC(=O)CCCCCCN1N=NC(CBr)=C1,Valid,1,6,118.96099999999998,1.0145,0.0,0.0,0.0,0.0
LN-0040,propargyl bromide,,,BrCC#C,Br-CH2|CC,Bromocarboxylic acid,CH2,5.0,OC(=O)CCCCCCCN=[N+]=[N-],N3-CH2|COOH,OC(=O)CCCCCCCN1N=NC(CBr)=C1,Valid,1,6,118.96099999999998,1.0145,0.0,0.0,0.0,0.0
LN-0041,propargyl bromide,,,BrCC#C,Br-CH2|CC,Bromocarboxylic acid,CH2,7.0,OC(=O)CCCCCCCCCN=[N+]=[N-],N3-CH2|COOH,OC(=O)CCCCCCCCCN1N=NC(CBr)=C1,Valid,1,6,118.96099999999998,1.0145,0.0,0.0,0.0,0.0
