Compound_ID,Common_Name,SMILES,InChIKey,Ring_Count,Heteroatom_Count,Status,Molecular_Weight,LogP,TPSA,Rotatable_Bonds,H_Bond_Acceptor,H_Bond_Donor
PT-0019,Hederagenin based PROTAC,O([H])[C@H]1CC[C@@]7(C)[C@H]([C@]1(C)CO[H])CC[C@@]8(C)[C@]6(C)CC[C@@]5(C(=O)NCCCCCCNC(=O)CCCNC3=CC=CC4C(=O)N(C2C(=O)NC(=O)CC2)C(=O)C34)CCC(C)(C)C[C@H]5C6=CC[C@H]78,,8,13,Valid,914.2419999999998,6.144100000000008,194.23999999999998,15.0,9.0,6.0
PT-0020,Hederagenin based PROTAC,O([H])[C@H]1CC[C@@]7(C)[C@H]([C@]1(C)CO[H])CC[C@@]8(C)[C@]6(C)CC[C@@]5(C(=O)NCCCCCCCCNC(=O)CCCNC3=CC=CC4C(=O)N(C2C(=O)NC(=O)CC2)C(=O)C34)CCC(C)(C)C[C@H]5C6=CC[C@H]78,,8,13,Valid,942.2959999999998,6.924300000000008,194.23999999999998,17.0,9.0,6.0
PT-0021,Hederagenin based PROTAC,O([H])[C@H]1CC[C@@]7(C)[C@H]([C@]1(C)CO[H])CC[C@@]8(C)[C@]6(C)CC[C@@]5(C(=O)NCCCCCCCCCCNC(=O)CCCNC3=CC=CC4C(=O)N(C2C(=O)NC(=O)CC2)C(=O)C34)CCC(C)(C)C[C@H]5C6=CC[C@H]78,,8,13,Valid,970.3499999999997,7.704500000000008,194.23999999999998,19.0,9.0,6.0
PT-0022,Hederagenin based PROTAC,O([H])[C@H]1CC[C@@]7(C)[C@H]([C@]1(C)CO[H])CC[C@@]8(C)[C@]6(C)CC[C@@]5(C(=O)NCCOCCOCCNC(=O)CCCNC3=CC=CC4C(=O)N(C2C(=O)NC(=O)CC2)C(=O)C34)CCC(C)(C)C[C@H]5C6=CC[C@H]78,,8,15,Valid,946.2399999999998,4.61690000000001,212.7,17.0,11.0,6.0
PT-0023,Hederagenin based PROTAC,O([H])[C@H]1CC[C@@]7(C)[C@H]([C@]1(C)CO[H])CC[C@@]8(C)[C@]6(C)CC[C@@]5(C(=O)NCCOCCOCCOCCNC(=O)CCCNC3=CC=CC4C(=O)N(C2C(=O)NC(=O)CC2)C(=O)C34)CCC(C)(C)C[C@H]5C6=CC[C@H]78,,8,16,Valid,990.2929999999996,4.633500000000013,221.93,20.0,12.0,6.0
PT-0024,Hederagenin based PROTAC,O([H])[C@H]1CC[C@@]7(C)[C@H]([C@]1(C)CO[H])CC[C@@]8(C)[C@]6(C)CC[C@@]5(C(=O)NCCOCCOCCOCCOCCNC(=O)CCCNC3=CC=CC4C(=O)N(C2C(=O)NC(=O)CC2)C(=O)C34)CCC(C)(C)C[C@H]5C6=CC[C@H]78,,8,17,Valid,1034.3459999999995,4.650100000000014,231.16,23.0,13.0,6.0
PT-0025,Hederagenin based PROTAC,O([H])[C@H]1CC[C@@]7(C)[C@H]([C@]1(C)CO[H])CC[C@@]8(C)[C@]6(C)CC[C@@]5(C(=O)NCCOCCOCCOCCOCCOCCNC(=O)CCCNC3=CC=CC4C(=O)N(C2C(=O)NC(=O)CC2)C(=O)C34)CCC(C)(C)C[C@H]5C6=CC[C@H]78,,8,18,Valid,1078.3989999999997,4.666700000000016,240.39000000000001,26.0,14.0,6.0
PT-0026,Hederagenin based PROTAC,O([H])[C@]1CC[C@](C)2[C@]([H])([C@]1(C)CO[H])CC[C@](C)1[C@@](C)3CC[C@](C(=O)NCCCCCCC(=O)NC(C(C)(C)C)C(=O)N4[C@](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@](O)C4)4CCC(C)(C)C[C@@]4([H])C3=CC[C@@]12[H],,8,13,Valid,1009.4319999999996,10.679689999999997,181.18999999999997,15.0,9.0,6.0
PT-0027,Hederagenin based PROTAC,O([H])[C@]1CC[C@](C)2[C@]([H])([C@]1(C)CO[H])CC[C@](C)1[C@@](C)3CC[C@](C(=O)NCCCCCCCCC(=O)NC(C(C)(C)C)C(=O)N4[C@](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@](O)C4)4CCC(C)(C)C[C@@]4([H])C3=CC[C@@]12[H],,8,13,Valid,1037.4859999999996,11.45988999999999,181.18999999999997,17.0,9.0,6.0
PT-0028,Hederagenin based PROTAC,O([H])[C@]1CC[C@](C)2[C@]([H])([C@]1(C)CO[H])CC[C@](C)1[C@@](C)3CC[C@](C(=O)NCCCCCCCCCCC(=O)NC(C(C)(C)C)C(=O)N4[C@](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@](O)C4)4CCC(C)(C)C[C@@]4([H])C3=CC[C@@]12[H],,8,13,Valid,1065.5399999999997,12.24008999999999,181.18999999999997,19.0,9.0,6.0
